ADM3_CODE,ADM2_CODE,ADM1_CODE,ADM0_CODE,ADM3_NAME,ADM2_NAME,ADM1_NAME,ADM0_NAME,ADM3_builtup_WSF19,RP10_builtup_WSF19_exp,RP20_builtup_WSF19_exp,RP50_builtup_WSF19_exp,RP100_builtup_WSF19_exp,RP200_builtup_WSF19_exp,RP500_builtup_WSF19_exp,RP10_builtup_WSF19_imp,RP20_builtup_WSF19_imp,RP50_builtup_WSF19_imp,RP100_builtup_WSF19_imp,RP200_builtup_WSF19_imp,RP500_builtup_WSF19_imp,RP10_EAI,RP20_EAI,RP50_EAI,RP100_EAI,RP200_EAI,RP500_EAI,builtup_WSF19_EAI,builtup_WSF19_EAI%
141201,1412,14,KHM,Ampil Krau,Sithor Kandal,Prey Veng,Cambodia,45.667,0,0,0.0,0.0,44.375,44.375,0,0,0.0,0.0,0.0,0.018,0,0,0.0,0.0,0.0,0.0,0.0,0.0
20405,204,2,KHM,Ampil Pram Daeum,Bavel,Battambang,Cambodia,119.689,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
250301,2503,25,KHM,Ampil Ta Pok,Ou Reang Ov,Tboung Khmum,Cambodia,110.989,0,0,0.0,0.0,92.749,92.749,0,0,0.0,0.0,0.0,0.038,0,0,0.0,0.0,0.0,0.0,0.0,0.0
40501,405,4,KHM,Ampil Tuek,Kampong Tralach,Kampong Chhnang,Cambodia,49.984,0,0,0.0,0.0,0.0,46.519,0,0,0.0,0.0,0.0,0.001,0,0,0.0,0.0,0.0,0.0,0.0,0.0
80101,801,8,KHM,Ampov Prey,Kandal Stueng,Kandal,Cambodia,76.422,0,0,0.0,0.0,70.266,70.266,0,0,0.0,0.0,0.001,0.039,0,0,0.0,0.0,0.0,0.0,0.0,0.0
20702,207,2,KHM,Andaeuk Haeb,Rotonak Mondol,Battambang,Cambodia,18.811,0,0,0.0,0.0,0.0,18.714,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
70804,708,7,KHM,Andoung Khmer,Kampot,Kampot,Cambodia,132.33,0,0,0.0,104.969,104.969,104.969,0,0,0.0,0.001,0.046,0.411,0,0,0.0,0.0,0.0,0.001,0.001,0.001
60912,609,6,KHM,Andoung Pou,Taing Kouk,Kampong Thom,Cambodia,51.176,0,0,0.0,0.0,0.0,34.624,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
200402,2004,20,KHM,Andoung Pou,Romeas Haek,Svay Rieng,Cambodia,30.27,0,0,0.0,28.997,28.997,28.997,0,0,0.0,0.0,0.013,0.067,0,0,0.0,0.0,0.0,0.0,0.0,0.001
40601,406,4,KHM,Andoung Snay,Rolea B'ier,Kampong Chhnang,Cambodia,86.763,0,0,0.0,0.0,0.0,75.353,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
180201,1802,18,KHM,Andoung Thma,Prey Nob,Preah Sihanouk,Cambodia,46.694,0,0,0.0,45.486,45.486,45.486,0,0,0.0,0.0,0.021,0.161,0,0,0.0,0.0,0.0,0.0,0.001,0.001
200403,2004,20,KHM,Andoung Trabaek,Romeas Haek,Svay Rieng,Cambodia,34.849,0,0,0.0,32.939,32.939,32.939,0,0,0.0,0.0,0.005,0.049,0,0,0.0,0.0,0.0,0.0,0.0,0.0
90101,901,9,KHM,Andoung Tuek,Botum Sakor,Koh Kong,Cambodia,33.757,0,0,0.0,32.896,32.896,32.896,0,0,0.0,0.0,0.011,0.094,0,0,0.0,0.0,0.0,0.0,0.0,0.001
70609,706,7,KHM,Ang Sophy,Kampong Trach,Kampot,Cambodia,35.175,0,0,0.0,33.586,33.586,33.586,0,0,0.0,0.0,0.011,0.15,0,0,0.0,0.0,0.0,0.0,0.001,0.001
211006,2110,21,KHM,Angk Kaev,Treang,Takeo,Cambodia,19.124,0,0,0.0,18.983,18.983,18.983,0,0,0.0,0.0,0.004,0.043,0,0,0.0,0.0,0.0,0.0,0.0,0.001
211002,2110,21,KHM,Angk Khnor,Treang,Takeo,Cambodia,35.556,0,0,0.0,35.018,35.018,35.018,0,0,0.0,0.0,0.008,0.07,0,0,0.0,0.0,0.0,0.0,0.0,0.001
70101,701,7,KHM,Angk Phnum Touch,Angkor Chey,Kampot,Cambodia,21.854,0,0,0.0,19.116,19.116,19.116,0,0,0.0,0.0,0.004,0.048,0,0,0.0,0.0,0.0,0.0,0.0,0.001
50301,503,5,KHM,Angk Popel,Kong Pisei,Kampong Speu,Cambodia,108.432,0,0,0.0,0.0,98.02,98.02,0,0,0.0,0.0,0.002,0.057,0,0,0.0,0.0,0.0,0.0,0.0,0.0
210401,2104,21,KHM,Angk Prasat,Kiri Vong,Takeo,Cambodia,53.291,0,0,0.0,49.069,49.069,49.069,0,0,0.0,0.0,0.014,0.128,0,0,0.0,0.0,0.0,0.0,0.0,0.001
200404,2004,20,KHM,Angk Prasrae,Romeas Haek,Svay Rieng,Cambodia,43.442,0,0,0.0,41.958,41.958,41.958,0,0,0.0,0.001,0.02,0.099,0,0,0.0,0.0,0.0,0.0,0.0,0.001
70509,705,7,KHM,Angk Romeas,Dang Tong,Kampot,Cambodia,19.437,0,0,0.0,13.657,13.657,13.657,0,0,0.0,0.0,0.005,0.05,0,0,0.0,0.0,0.0,0.0,0.0,0.001
210901,2109,21,KHM,Angk Ta Saom,Tram Kak,Takeo,Cambodia,141.934,0,0,0.0,60.94,136.92,136.92,0,0,0.0,0.0,0.018,0.237,0,0,0.0,0.0,0.0,0.001,0.001,0.001
200501,2005,20,KHM,Angk Ta Sou,Svay Chrum,Svay Rieng,Cambodia,21.498,0,0,0.0,20.535,20.535,20.535,0,0,0.0,0.0,0.012,0.05,0,0,0.0,0.0,0.0,0.0,0.0,0.001
210601,2106,21,KHM,Angkanh,Prey Kabbas,Takeo,Cambodia,52.393,0,0,0.0,0.0,52.387,52.387,0,0,0.0,0.0,0.005,0.06,0,0,0.0,0.0,0.0,0.0,0.0,0.0
