ADM3_CODE,ADM2_CODE,ADM1_CODE,ADM0_CODE,ADM3_NAME,ADM2_NAME,ADM1_NAME,ADM0_NAME,ADM3_builtup_WSF19,builtup_WSF19_C2,builtup_WSF19_C1,builtup_WSF19_C0,builtup_WSF19_C2%,builtup_WSF19_C1%,builtup_WSF19_C0%
80101,801,8,KHM,Ampov Prey,Kandal Stueng,Kandal,Cambodia,76.422,0,0,0,0,0,0
20702,207,2,KHM,Andaeuk Haeb,Rotonak Mondol,Battambang,Cambodia,18.811,5.131,6.076,6.076,0.272765934825368,0.323002498538089,0.323002498538089
70804,708,7,KHM,Andoung Khmer,Kampot,Kampot,Cambodia,132.33,0,0,0,0,0,0
60912,609,6,KHM,Andoung Pou,Taing Kouk,Kampong Thom,Cambodia,51.176,0,0,0,0,0,0
200402,2004,20,KHM,Andoung Pou,Romeas Haek,Svay Rieng,Cambodia,30.27,0,0,0,0,0,0
40601,406,4,KHM,Andoung Snay,Rolea B'ier,Kampong Chhnang,Cambodia,86.763,0,0,0,0,0,0
180201,1802,18,KHM,Andoung Thma,Prey Nob,Preah Sihanouk,Cambodia,46.694,0,0.349,0.349,0,0.00747419368655502,0.00747419368655502
200403,2004,20,KHM,Andoung Trabaek,Romeas Haek,Svay Rieng,Cambodia,34.849,0,0,0,0,0,0
90101,901,9,KHM,Andoung Tuek,Botum Sakor,Koh Kong,Cambodia,33.757,0.105,4.31,4.31,0.0031104659774269,0.127677222502,0.127677222502
70609,706,7,KHM,Ang Sophy,Kampong Trach,Kampot,Cambodia,35.175,0,0.244,0.244,0,0.00693674484719261,0.00693674484719261
211006,2110,21,KHM,Angk Kaev,Treang,Takeo,Cambodia,19.124,0,0,0,0,0,0
211002,2110,21,KHM,Angk Khnor,Treang,Takeo,Cambodia,35.556,0,0,0,0,0,0
70101,701,7,KHM,Angk Phnum Touch,Angkor Chey,Kampot,Cambodia,21.854,0,0,0,0,0,0
50301,503,5,KHM,Angk Popel,Kong Pisei,Kampong Speu,Cambodia,108.432,0,0,0,0,0,0
210401,2104,21,KHM,Angk Prasat,Kiri Vong,Takeo,Cambodia,53.291,0,0,0,0,0,0
200404,2004,20,KHM,Angk Prasrae,Romeas Haek,Svay Rieng,Cambodia,43.442,0,0,0,0,0,0
70509,705,7,KHM,Angk Romeas,Dang Tong,Kampot,Cambodia,19.437,0,0,0,0,0,0
210901,2109,21,KHM,Angk Ta Saom,Tram Kak,Takeo,Cambodia,141.934,0,0,0,0,0,0
200501,2005,20,KHM,Angk Ta Sou,Svay Chrum,Svay Rieng,Cambodia,21.498,0,0,0,0,0,0
210601,2106,21,KHM,Angkanh,Prey Kabbas,Takeo,Cambodia,52.393,0,0,0,0,0,0
211001,2110,21,KHM,Angkanh,Treang,Takeo,Cambodia,44.879,0,0,0,0,0,0
230101,2301,23,KHM,Angkaol,Damnak Chang'aeur,Kep,Cambodia,25.362,0,0,0,0,0,0
140601,1406,14,KHM,Angkor Angk,Peam Chor,Prey Veng,Cambodia,18.272,0,0,0,0,0,0
21002,210,2,KHM,Angkor Ban,Sampov Lun,Battambang,Cambodia,35.75,0,1.891,1.891,0,0.0528951048951049,0.0528951048951049
30701,307,3,KHM,Angkor Ban,Kang Meas,Kampong Cham,Cambodia,59.864,0,0,0,0,0,0
210101,2101,21,KHM,Angkor Borei,Angkor Borei,Takeo,Cambodia,84.102,0,0,0,0,0,0
140901,1409,14,KHM,Angkor Reach,Preah Sdach,Prey Veng,Cambodia,67.31,0,0,0,0,0,0
140501,1405,14,KHM,Angkor Sar,Me Sang,Prey Veng,Cambodia,47.214,0,0,0,0,0,0
141301,1413,14,KHM,Angkor Tret,Svay Antor,Prey Veng,Cambodia,63.927,0,0,0,0,0,0
250201,2502,25,KHM,Anhchaeum,Tboung Khmum,Tboung Khmum,Cambodia,90.896,0,0,0,0,0,0
