ADM3_CODE,ADM2_CODE,ADM1_CODE,ADM0_CODE,ADM3_NAME,ADM2_NAME,ADM1_NAME,ADM0_NAME,ADM3_agri_ESA20_agri,agri_ESA20_agri_exp,agri_ESA20_agri_freq
141301,1413,14,KHM,Angkor Tret,Svay Antor,Prey Veng,Cambodia,5379.589,8.93,0.0269876819708847
250201,2502,25,KHM,Anhchaeum,Tboung Khmum,Tboung Khmum,Cambodia,6344.764,0,0
40101,401,4,KHM,Anhchanh Rung,Baribour,Kampong Chhnang,Cambodia,5135.163,0,0
70102,701,7,KHM,Ankor Chey,Angkor Chey,Kampot,Cambodia,1003.675,232.22,0.0540521918870037
190505,1905,19,KHM,Anlong Chrey,Thala Barivat,Stung Treng,Cambodia,6821.61,79.285,0.027029072333985
190501,1905,19,KHM,Anlong Phe,Thala Barivat,Stung Treng,Cambodia,1874.756,0,0
150603,1506,15,KHM,Anlong Reab,Veal Veaeng,Pursat,Cambodia,3115.902,0,0
80102,801,8,KHM,Anlong Romiet,Kandal Stueng,Kandal,Cambodia,267.652,0,0
20205,202,2,KHM,Anlong Run,Thma Koul,Battambang,Cambodia,10150.006,0,0
170401,1704,17,KHM,Anlong Samnar,Chi Kraeng,Siemreap,Cambodia,3419.249,0,0
150301,1503,15,KHM,Anlong Tnaot,Krakor,Pursat,Cambodia,5889.691,1064.91,0.027026697091773
220101,2201,22,KHM,Anlong Veaeng,Anlong Veaeng,Oddar Meanchey,Cambodia,19958.156,415.105,0.0527456908493032
20801,208,2,KHM,Anlong Vil,Sangkae,Battambang,Cambodia,4057.479,637.761,0.0540547321018375
150201,1502,15,KHM,Anlong Vil,Kandieng,Pursat,Cambodia,3246.186,0,0
150302,1503,15,KHM,Ansa Chambak,Krakor,Pursat,Cambodia,10282.001,2024.195,0.0271273271596857
140301,1403,14,KHM,Ansaong,Kampong Trabaek,Prey Veng,Cambodia,2971.751,753.709,0.162162054586054
31501,315,3,KHM,Areaks Tnot,Stueng Trang,Kampong Cham,Cambodia,313.456,0,0
40303,403,4,KHM,B'er,Kampong Chhnang,Kampong Chhnang,Cambodia,17.951,1.01,0.0544554455445545
140701,1407,14,KHM,Ba Baong,Peam Ro,Prey Veng,Cambodia,3259.591,2526.238,0.237809343379365
210102,2101,21,KHM,Ba Srae,Angkor Borei,Takeo,Cambodia,4759.671,2804.834,0.0810810907169551
160505,1605,16,KHM,Ba Tang,Lumphat,Ratanak Kiri,Cambodia,2897.055,0,0
80801,808,8,KHM,Baek Chan,Angk Snuol,Kandal,Cambodia,709.89,0,0
