ADM3_CODE,ADM2_CODE,ADM1_CODE,ADM0_CODE,ADM3_NAME,ADM2_NAME,ADM1_NAME,ADM0_NAME,ADM3_pop_WPOP20,pop_WPOP20_C2,pop_WPOP20_C1,pop_WPOP20_C0,pop_WPOP20_C2%,pop_WPOP20_C1%,pop_WPOP20_C0%
20702,207,2,KHM,Andaeuk Haeb,Rotonak Mondol,Battambang,Cambodia,5932.703,0,0,0,0,0,0
70804,708,7,KHM,Andoung Khmer,Kampot,Kampot,Cambodia,9987.908,0,0,0,0,0,0
60912,609,6,KHM,Andoung Pou,Taing Kouk,Kampong Thom,Cambodia,5158.762,0,0,0,0,0,0
200402,2004,20,KHM,Andoung Pou,Romeas Haek,Svay Rieng,Cambodia,4228.562,0,0,0,0,0,0
40601,406,4,KHM,Andoung Snay,Rolea B'ier,Kampong Chhnang,Cambodia,8207.354,0,0,0,0,0,0
180201,1802,18,KHM,Andoung Thma,Prey Nob,Preah Sihanouk,Cambodia,5671.214,0,0,0,0,0,0
200403,2004,20,KHM,Andoung Trabaek,Romeas Haek,Svay Rieng,Cambodia,6016.929,0,0,0,0,0,0
90101,901,9,KHM,Andoung Tuek,Botum Sakor,Koh Kong,Cambodia,4527.088,0,1534.626,1534.626,0,0.338987446234754,0.338987446234754
70609,706,7,KHM,Ang Sophy,Kampong Trach,Kampot,Cambodia,3817.7,0,0,0,0,0,0
211006,2110,21,KHM,Angk Kaev,Treang,Takeo,Cambodia,3726.479,0,0,0,0,0,0
211002,2110,21,KHM,Angk Khnor,Treang,Takeo,Cambodia,3753.406,0,0,0,0,0,0
70101,701,7,KHM,Angk Phnum Touch,Angkor Chey,Kampot,Cambodia,3326.993,0,0,0,0,0,0
50301,503,5,KHM,Angk Popel,Kong Pisei,Kampong Speu,Cambodia,6374.298,0,0,0,0,0,0
210401,2104,21,KHM,Angk Prasat,Kiri Vong,Takeo,Cambodia,5972.312,0,0,0,0,0,0
200404,2004,20,KHM,Angk Prasrae,Romeas Haek,Svay Rieng,Cambodia,4155.001,0,0,0,0,0,0
70509,705,7,KHM,Angk Romeas,Dang Tong,Kampot,Cambodia,8506.271,0,0,0,0,0,0
210901,2109,21,KHM,Angk Ta Saom,Tram Kak,Takeo,Cambodia,13925.099,0,0,0,0,0,0
200501,2005,20,KHM,Angk Ta Sou,Svay Chrum,Svay Rieng,Cambodia,4300.595,0,0,0,0,0,0
210601,2106,21,KHM,Angkanh,Prey Kabbas,Takeo,Cambodia,4558.822,0,0,0,0,0,0
211001,2110,21,KHM,Angkanh,Treang,Takeo,Cambodia,3667.699,0,0,0,0,0,0
230101,2301,23,KHM,Angkaol,Damnak Chang'aeur,Kep,Cambodia,12171.985,0,0,0,0,0,0
140601,1406,14,KHM,Angkor Angk,Peam Chor,Prey Veng,Cambodia,2320.586,0,0,0,0,0,0
21002,210,2,KHM,Angkor Ban,Sampov Lun,Battambang,Cambodia,1878.817,0,166.705,166.705,0,0.0887287053502284,0.0887287053502284
30701,307,3,KHM,Angkor Ban,Kang Meas,Kampong Cham,Cambodia,7297.672,0,0,0,0,0,0
210101,2101,21,KHM,Angkor Borei,Angkor Borei,Takeo,Cambodia,10530.777,0,0,0,0,0,0
140901,1409,14,KHM,Angkor Reach,Preah Sdach,Prey Veng,Cambodia,10313.353,0,0,0,0,0,0
140501,1405,14,KHM,Angkor Sar,Me Sang,Prey Veng,Cambodia,7394.276,0,0,0,0,0,0
141301,1413,14,KHM,Angkor Tret,Svay Antor,Prey Veng,Cambodia,6486.06,0,0,0,0,0,0
250201,2502,25,KHM,Anhchaeum,Tboung Khmum,Tboung Khmum,Cambodia,13216.03,0,0,0,0,0,0
