ADM3_CODE,ADM2_CODE,ADM1_CODE,ADM0_CODE,ADM3_NAME,ADM2_NAME,ADM1_NAME,ADM0_NAME,ADM3_pop_WPOP20,RP5_pop_WPOP20_exp,RP10_pop_WPOP20_exp,RP20_pop_WPOP20_exp,RP50_pop_WPOP20_exp,RP75_pop_WPOP20_exp,RP100_pop_WPOP20_exp,RP200_pop_WPOP20_exp,RP250_pop_WPOP20_exp,RP500_pop_WPOP20_exp,RP1000_pop_WPOP20_exp,RP5_pop_WPOP20_imp,RP10_pop_WPOP20_imp,RP20_pop_WPOP20_imp,RP50_pop_WPOP20_imp,RP75_pop_WPOP20_imp,RP100_pop_WPOP20_imp,RP200_pop_WPOP20_imp,RP250_pop_WPOP20_imp,RP500_pop_WPOP20_imp,RP1000_pop_WPOP20_imp,RP5_EAI,RP10_EAI,RP20_EAI,RP50_EAI,RP75_EAI,RP100_EAI,RP200_EAI,RP250_EAI,RP500_EAI,RP1000_EAI,pop_WPOP20_EAI,pop_WPOP20_EAI%
141201,1412,14,KHM,Ampil Krau,Sithor Kandal,Prey Veng,Cambodia,5899.683,0.0,0.0,0.0,0.0,1506.08,2843.015,4121.25,4408.773,4874.345,5024.959,0.0,0.0,0.0,0.0,4.066,8.529,15.072,16.898,21.929,27.015,0.0,0.0,0.0,0.0,0.027,0.028,0.075,0.017,0.044,0.027,0.219,0.004
20405,204,2,KHM,Ampil Pram Daeum,Bavel,Battambang,Cambodia,41635.859,16674.152,31653.525,34974.047,36635.371,36711.004,36711.004,37496.117,37949.785,37949.785,39035.113,38.732,75.144,88.035,99.474,103.348,106.109,114.264,117.255,123.988,132.955,7.746,7.514,4.402,2.984,0.689,0.354,0.571,0.117,0.248,0.133,24.759,0.059
250301,2503,25,KHM,Ampil Ta Pok,Ou Reang Ov,Tboung Khmum,Cambodia,10383.107,0.0,0.0,0.0,0.0,31.389,469.237,546.051,557.642,575.057,600.657,0.0,0.0,0.0,0.0,0.082,1.164,1.866,2.064,2.686,3.477,0.0,0.0,0.0,0.0,0.001,0.004,0.009,0.002,0.005,0.003,0.025,0.0
40501,405,4,KHM,Ampil Tuek,Kampong Tralach,Kampong Chhnang,Cambodia,10519.1,0.0,0.0,0.0,2236.975,5430.32,6480.003,8897.952,9309.698,9724.239,10053.832,0.0,0.0,0.0,6.813,24.128,42.193,125.226,159.355,357.605,731.062,0.0,0.0,0.0,0.204,0.161,0.141,0.626,0.159,0.715,0.731,2.738,0.026
80101,801,8,KHM,Ampov Prey,Kandal Stueng,Kandal,Cambodia,8708.492,0.0,122.835,284.393,284.393,284.393,284.393,472.424,657.031,1780.87,3699.071,0.0,0.25,0.614,0.697,0.752,0.79,1.352,1.909,4.814,10.303,0.0,0.025,0.031,0.021,0.005,0.003,0.007,0.002,0.01,0.01,0.113,0.001
20702,207,2,KHM,Andaeuk Haeb,Rotonak Mondol,Battambang,Cambodia,5932.703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70804,708,7,KHM,Andoung Khmer,Kampot,Kampot,Cambodia,9987.908,0.0,0.0,219.16,3330.479,4964.467,5525.138,6412.402,6589.105,6974.74,7275.894,0.0,0.0,0.606,11.949,25.743,40.254,105.986,138.757,286.672,507.126,0.0,0.0,0.03,0.358,0.172,0.134,0.53,0.139,0.573,0.507,2.444,0.024
60912,609,6,KHM,Andoung Pou,Taing Kouk,Kampong Thom,Cambodia,5158.762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200402,2004,20,KHM,Andoung Pou,Romeas Haek,Svay Rieng,Cambodia,4228.562,0.0,0.0,0.0,41.803,50.982,59.222,91.911,100.98,122.354,155.214,0.0,0.0,0.0,0.163,0.237,0.303,0.542,0.638,0.99,1.48,0.0,0.0,0.0,0.005,0.002,0.001,0.003,0.001,0.002,0.001,0.014,0.0
40601,406,4,KHM,Andoung Snay,Rolea B'ier,Kampong Chhnang,Cambodia,8207.354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.291,439.779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.249,1.395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.0
