ADM3_CODE,ADM2_CODE,ADM1_CODE,ADM0_CODE,ADM3_NAME,ADM2_NAME,ADM1_NAME,ADM0_NAME,ADM3_pop_WPOP20,pop_WPOP20_C4,pop_WPOP20_C3,pop_WPOP20_C2,pop_WPOP20_C1,pop_WPOP20_C0,pop_WPOP20_C4%,pop_WPOP20_C3%,pop_WPOP20_C2%,pop_WPOP20_C1%,pop_WPOP20_C0%
200802,2008,20,KHM,Bavet,Bavet,Svay Rieng,Cambodia,15534.258,0,0,14111.02,14111.02,14111.02,0,0,0.908380689956353,0.908380689956353,0.908380689956353
20103,201,2,KHM,Bay Damram,Banan,Battambang,Cambodia,4819.968,0,0,4621.081,4621.081,4621.081,0,0,0.958736862983323,0.958736862983323,0.958736862983323
180103,1801,18,KHM,Bei,Preah Sihanouk,Preah Sihanouk,Cambodia,28341.449,0,0,26791.433,26791.433,26791.433,0,0,0.945309218311315,0.945309218311315,0.945309218311315
220202,2202,22,KHM,Beng,Banteay Ampil,Oddar Meanchey,Cambodia,26309.094,0,0,26176.329,26176.329,26176.329,0,0,0.994953646066261,0.994953646066261,0.994953646066261
180203,1802,18,KHM,Bet Trang,Prey Nob,Preah Sihanouk,Cambodia,4586.892,0,0,4218.601,4218.601,4218.601,0,0,0.919707941673796,0.919707941673796,0.919707941673796
60104,601,6,KHM,Boeng,Baray,Kampong Thom,Cambodia,6103.086,0,0,6010.08,6010.08,6010.08,0,0,0.984760824278078,0.984760824278078,0.984760824278078
150101,1501,15,KHM,Boeng Bat Kandaol,Bakan,Pursat,Cambodia,9359.505,0,0,9187.739,9187.739,9187.739,0,0,0.981647961083412,0.981647961083412,0.981647961083412
10901,109,1,KHM,Boeng Beng,Malai,Banteay Meanchey,Cambodia,9018.357,0,0,8676.464,8676.464,8676.464,0,0,0.96208921425488,0.96208921425488,0.96208921425488
100401,1004,10,KHM,Boeng Char,Sambour,Kratie,Cambodia,579.682,0,0,579.682,579.682,579.682,0,0,1,1,1
140903,1409,14,KHM,Boeng Daol,Preah Sdach,Prey Veng,Cambodia,9246.574,0,0,8946.725,8946.725,8946.725,0,0,0.967571881217843,0.967571881217843,0.967571881217843
120407,1204,12,KHM,Boeng Kak Ti Muoy,Tuol Kouk,Phnom Penh,Cambodia,20641.551,0,0,15050.636,15050.636,15050.636,0,0,0.729142688938443,0.729142688938443,0.729142688938443
120408,1204,12,KHM,Boeng Kak Ti Pir,Tuol Kouk,Phnom Penh,Cambodia,25850.922,0,0,22834.817,22834.817,22834.817,0,0,0.883326985397271,0.883326985397271,0.883326985397271
160204,1602,16,KHM,Boeng Kansaeng,Ban Lung,Ratanak Kiri,Cambodia,16229.047,0,0,14417.697,14417.697,14417.697,0,0,0.888388393970391,0.888388393970391,0.888388393970391
150303,1503,15,KHM,Boeng Kantuot,Krakor,Pursat,Cambodia,6571.726,0,0,5461.08,5461.08,5461.08,0,0,0.83099630142827,0.83099630142827,0.83099630142827
121303,1213,12,KHM,Boeng Keng Kang Ti Bei,Boeng Keng Kang,Phnom Penh,Cambodia,25020.539,0,0,19661.05,19661.05,19661.05,0,0,0.785796421092287,0.785796421092287,0.785796421092287
121301,1213,12,KHM,Boeng Keng Kang Ti Muoy,Boeng Keng Kang,Phnom Penh,Cambodia,23313.572,0,0,18392.539,18392.539,18392.539,0,0,0.788919818893475,0.788919818893475,0.788919818893475
