ADM3_CODE,ADM2_CODE,ADM1_CODE,ADM0_CODE,ADM3_NAME,ADM2_NAME,ADM1_NAME,ADM0_NAME,ADM3_builtup_WSF19,RP5_builtup_WSF19_exp,RP10_builtup_WSF19_exp,RP20_builtup_WSF19_exp,RP50_builtup_WSF19_exp,RP75_builtup_WSF19_exp,RP100_builtup_WSF19_exp,RP200_builtup_WSF19_exp,RP250_builtup_WSF19_exp,RP500_builtup_WSF19_exp,RP1000_builtup_WSF19_exp,RP5_builtup_WSF19_imp,RP10_builtup_WSF19_imp,RP20_builtup_WSF19_imp,RP50_builtup_WSF19_imp,RP75_builtup_WSF19_imp,RP100_builtup_WSF19_imp,RP200_builtup_WSF19_imp,RP250_builtup_WSF19_imp,RP500_builtup_WSF19_imp,RP1000_builtup_WSF19_imp,RP5_EAI,RP10_EAI,RP20_EAI,RP50_EAI,RP75_EAI,RP100_EAI,RP200_EAI,RP250_EAI,RP500_EAI,RP1000_EAI,builtup_WSF19_EAI,builtup_WSF19_EAI%
141201,1412,14,KHM,Ampil Krau,Sithor Kandal,Prey Veng,Cambodia,45.667,0.0,0.0,0.0,0.0,9.674,18.555,26.811,28.27,30.241,32.67,0.0,0.0,0.0,0.0,1.601,3.088,5.614,6.266,8.037,9.736,0.0,0.0,0.0,0.0,0.011,0.01,0.028,0.006,0.016,0.01,0.081,0.178
20405,204,2,KHM,Ampil Pram Daeum,Bavel,Battambang,Cambodia,119.689,20.692,42.457,54.384,60.319,63.033,64.427,68.801,69.72,75.093,83.444,2.359,4.588,6.343,8.259,9.07,9.66,11.135,11.582,13.099,14.775,0.472,0.459,0.317,0.248,0.06,0.032,0.056,0.012,0.026,0.015,1.696,1.417
250301,2503,25,KHM,Ampil Ta Pok,Ou Reang Ov,Tboung Khmum,Cambodia,110.989,0.0,0.0,0.0,0.0,0.0,0.152,0.284,0.319,0.319,0.866,0.0,0.0,0.0,0.0,0.0,0.016,0.043,0.051,0.071,0.121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001
40501,405,4,KHM,Ampil Tuek,Kampong Tralach,Kampong Chhnang,Cambodia,49.984,0.005,0.005,0.005,14.304,23.633,30.482,40.169,41.226,44.88,45.67,0.0,0.0,0.0,2.979,7.198,9.975,18.101,20.108,26.532,31.443,0.0,0.0,0.0,0.089,0.048,0.033,0.091,0.02,0.053,0.031,0.366,0.732
80101,801,8,KHM,Ampov Prey,Kandal Stueng,Kandal,Cambodia,76.422,1.19,3.649,4.574,4.879,4.924,4.955,7.19,7.591,15.325,30.971,0.06,0.254,0.461,0.663,0.783,0.859,1.32,1.544,2.583,4.816,0.012,0.025,0.023,0.02,0.005,0.003,0.007,0.002,0.005,0.005,0.107,0.139
20702,207,2,KHM,Andaeuk Haeb,Rotonak Mondol,Battambang,Cambodia,18.811,0.105,0.14,0.348,0.585,0.637,0.637,0.648,0.66,0.771,1.356,0.028,0.055,0.097,0.183,0.226,0.256,0.322,0.341,0.427,0.561,0.006,0.005,0.005,0.005,0.002,0.001,0.002,0.0,0.001,0.001,0.027,0.144
70804,708,7,KHM,Andoung Khmer,Kampot,Kampot,Cambodia,132.33,0.0,0.0,0.72,52.406,71.255,76.453,88.071,89.653,95.1,98.111,0.0,0.0,0.033,8.996,20.38,28.429,45.716,50.198,61.419,69.214,0.0,0.0,0.002,0.27,0.136,0.095,0.229,0.05,0.123,0.069,0.973,0.735
60912,609,6,KHM,Andoung Pou,Taing Kouk,Kampong Thom,Cambodia,51.176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200402,2004,20,KHM,Andoung Pou,Romeas Haek,Svay Rieng,Cambodia,30.27,0.0,0.0,0.0,0.012,0.012,0.012,0.046,0.046,0.046,0.049,0.0,0.0,0.0,0.0,0.001,0.001,0.002,0.002,0.003,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40601,406,4,KHM,Andoung Snay,Rolea B'ier,Kampong Chhnang,Cambodia,86.763,0.971,1.751,2.202,2.441,2.483,2.54,2.552,2.552,2.575,2.575,0.032,0.118,0.188,0.261,0.303,0.331,0.388,0.415,0.477,0.536,0.006,0.012,0.009,0.008,0.002,0.001,0.002,0.0,0.001,0.001,0.042,0.049
180201,1802,18,KHM,Andoung Thma,Prey Nob,Preah Sihanouk,Cambodia,46.694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
