ADM3_CODE,ADM2_CODE,ADM1_CODE,ADM0_CODE,ADM3_NAME,ADM2_NAME,ADM1_NAME,ADM0_NAME,ADM3_builtup_WSF19,RP10_builtup_WSF19_C6,RP10_builtup_WSF19_C5,RP10_builtup_WSF19_C4,RP10_builtup_WSF19_C3,RP10_builtup_WSF19_C2,RP10_builtup_WSF19_C1,RP10_builtup_WSF19_C0,RP10_builtup_WSF19_C6_EAE,RP10_builtup_WSF19_C5_EAE,RP10_builtup_WSF19_C4_EAE,RP10_builtup_WSF19_C3_EAE,RP10_builtup_WSF19_C2_EAE,RP10_builtup_WSF19_C1_EAE,RP10_builtup_WSF19_C0_EAE,RP20_builtup_WSF19_C6,RP20_builtup_WSF19_C5,RP20_builtup_WSF19_C4,RP20_builtup_WSF19_C3,RP20_builtup_WSF19_C2,RP20_builtup_WSF19_C1,RP20_builtup_WSF19_C0,RP20_builtup_WSF19_C6_EAE,RP20_builtup_WSF19_C5_EAE,RP20_builtup_WSF19_C4_EAE,RP20_builtup_WSF19_C3_EAE,RP20_builtup_WSF19_C2_EAE,RP20_builtup_WSF19_C1_EAE,RP20_builtup_WSF19_C0_EAE,RP50_builtup_WSF19_C6,RP50_builtup_WSF19_C5,RP50_builtup_WSF19_C4,RP50_builtup_WSF19_C3,RP50_builtup_WSF19_C2,RP50_builtup_WSF19_C1,RP50_builtup_WSF19_C0,RP50_builtup_WSF19_C6_EAE,RP50_builtup_WSF19_C5_EAE,RP50_builtup_WSF19_C4_EAE,RP50_builtup_WSF19_C3_EAE,RP50_builtup_WSF19_C2_EAE,RP50_builtup_WSF19_C1_EAE,RP50_builtup_WSF19_C0_EAE,RP100_builtup_WSF19_C6,RP100_builtup_WSF19_C5,RP100_builtup_WSF19_C4,RP100_builtup_WSF19_C3,RP100_builtup_WSF19_C2,RP100_builtup_WSF19_C1,RP100_builtup_WSF19_C0,RP100_builtup_WSF19_C6_EAE,RP100_builtup_WSF19_C5_EAE,RP100_builtup_WSF19_C4_EAE,RP100_builtup_WSF19_C3_EAE,RP100_builtup_WSF19_C2_EAE,RP100_builtup_WSF19_C1_EAE,RP100_builtup_WSF19_C0_EAE,RP200_builtup_WSF19_C6,RP200_builtup_WSF19_C5,RP200_builtup_WSF19_C4,RP200_builtup_WSF19_C3,RP200_builtup_WSF19_C2,RP200_builtup_WSF19_C1,RP200_builtup_WSF19_C0,RP200_builtup_WSF19_C6_EAE,RP200_builtup_WSF19_C5_EAE,RP200_builtup_WSF19_C4_EAE,RP200_builtup_WSF19_C3_EAE,RP200_builtup_WSF19_C2_EAE,RP200_builtup_WSF19_C1_EAE,RP200_builtup_WSF19_C0_EAE,RP500_builtup_WSF19_C6,RP500_builtup_WSF19_C5,RP500_builtup_WSF19_C4,RP500_builtup_WSF19_C3,RP500_builtup_WSF19_C2,RP500_builtup_WSF19_C1,RP500_builtup_WSF19_C0,RP500_builtup_WSF19_C6_EAE,RP500_builtup_WSF19_C5_EAE,RP500_builtup_WSF19_C4_EAE,RP500_builtup_WSF19_C3_EAE,RP500_builtup_WSF19_C2_EAE,RP500_builtup_WSF19_C1_EAE,RP500_builtup_WSF19_C0_EAE,builtup_WSF19_C6_EAE,builtup_WSF19_C5_EAE,builtup_WSF19_C4_EAE,builtup_WSF19_C3_EAE,builtup_WSF19_C2_EAE,builtup_WSF19_C1_EAE,builtup_WSF19_C0_EAE,builtup_WSF19_C6_EAE%,builtup_WSF19_C5_EAE%,builtup_WSF19_C4_EAE%,builtup_WSF19_C3_EAE%,builtup_WSF19_C2_EAE%,builtup_WSF19_C1_EAE%,builtup_WSF19_C0_EAE%
160905,1609,16,KHM,Kaoh Pang,Veun Sai,Ratanak Kiri,Cambodia,0.163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.024,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.151,0.151,0.0,0.0,0.0,0.0,0.0,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.151,0.151,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.151,0.151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.003,0.0,0.0,0.0,0.0,0.0,2.112,2.112
160906,1609,16,KHM,Kaoh Peak,Veun Sai,Ratanak Kiri,Cambodia,2.893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.163,0.163,0.0,0.0,0.0,0.0,0.0,0.005,0.005,0.0,0.0,0.0,0.0,0.0,2.893,2.893,0.0,0.0,0.0,0.0,0.0,0.029,0.029,0.0,0.0,0.0,0.0,0.0,2.893,2.893,0.0,0.0,0.0,0.0,0.0,0.014,0.014,0.0,0.0,0.0,0.0,0.0,2.893,2.893,0.0,0.0,0.0,0.0,0.0,0.009,0.009,0.0,0.0,0.0,0.0,0.0,0.057,0.057,0.0,0.0,0.0,0.0,0.0,1.969,1.969
250404,2504,25,KHM,Kaoh Pir,Krouch Chhmar,Tboung Khmum,Cambodia,14.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.026,14.026,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.0,0.0,0.0,0.0,14.026,14.026,0.0,0.0,0.0,0.0,0.0,0.042,0.042,0.0,0.0,0.0,0.0,0.0,0.112,0.112,0.0,0.0,0.0,0.0,0.0,0.8,0.8
10603,106,1,KHM,Kaoh Pong Satv,Serei Saophoan,Banteay Meanchey,Cambodia,54.732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190201,1902,19,KHM,Kaoh Preah,Siem Bouk,Stung Treng,Cambodia,2.196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.196,2.196,0.0,0.0,0.0,0.0,0.0,0.007,0.007,0.0,0.0,0.0,0.0,0.0,0.007,0.007,0.0,0.0,0.0,0.0,0.0,0.3,0.3
80605,806,8,KHM,Kaoh Reah,Lvea Aem,Kandal,Cambodia,24.432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.206,22.206,0.0,0.0,0.0,0.0,0.0,0.111,0.111,0.0,0.0,0.0,0.0,0.0,22.206,22.206,0.0,0.0,0.0,0.0,0.0,0.067,0.067,0.0,0.0,0.0,0.0,0.0,0.178,0.178,0.0,0.0,0.0,0.0,0.0,0.727,0.727
30606,306,3,KHM,Kaoh Roka,Kampong Siem,Kampong Cham,Cambodia,51.557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.3,50.3,0.0,0.0,0.0,0.0,0.0,0.252,0.252,0.0,0.0,0.0,0.0,0.0,50.3,50.3,0.0,0.0,0.0,0.0,0.0,0.151,0.151,0.0,0.0,0.0,0.0,0.0,0.402,0.402,0.0,0.0,0.0,0.0,0.0,0.78,0.78
140604,1406,14,KHM,Kaoh Roka,Peam Chor,Prey Veng,Cambodia,16.191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.484,15.484,0.0,0.0,0.0,0.0,0.0,0.155,0.155,0.0,0.0,0.0,0.0,0.0,15.484,15.484,0.0,0.0,0.0,0.0,0.0,0.077,0.077,0.0,0.0,0.0,0.0,0.0,15.484,15.484,0.0,0.0,0.0,0.0,0.0,0.046,0.046,0.0,0.0,0.0,0.0,0.0,0.279,0.279,0.0,0.0,0.0,0.0,0.0,1.721,1.721
190202,1902,19,KHM,Kaoh Sampeay,Siem Bouk,Stung Treng,Cambodia,13.805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.782,13.782,0.0,0.0,0.0,0.0,0.0,0.041,0.041,0.0,0.0,0.0,0.0,0.0,0.041,0.041,0.0,0.0,0.0,0.0,0.0,0.299,0.299
140605,1406,14,KHM,Kaoh Sampov,Peam Chor,Prey Veng,Cambodia,37.872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.026,17.026,0.0,0.0,0.0,0.0,0.0,0.17,0.17,0.0,0.0,0.0,0.0,0.0,17.026,17.026,0.0,0.0,0.0,0.0,0.0,0.085,0.085,0.0,0.0,0.0,0.0,0.0,17.026,17.026,0.0,0.0,0.0,0.0,0.0,0.051,0.051,0.0,0.0,0.0,0.0,0.0,0.306,0.306,0.0,0.0,0.0,0.0,0.0,0.809,0.809
30607,306,3,KHM,Kaoh Samraong,Kampong Siem,Kampong Cham,Cambodia,33.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.85,33.85,0.0,0.0,0.0,0.0,0.0,0.169,0.169,0.0,0.0,0.0,0.0,0.0,33.85,33.85,0.0,0.0,0.0,0.0,0.0,0.102,0.102,0.0,0.0,0.0,0.0,0.0,0.271,0.271,0.0,0.0,0.0,0.0,0.0,0.8,0.8
90201,902,9,KHM,Kaoh Sdach,Kiri Sakor,Koh Kong,Cambodia,43.922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.008,20.008,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,20.008,20.008,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,20.008,20.008,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.36,0.36,0.0,0.0,0.0,0.0,0.0,0.82,0.82
190602,1906,19,KHM,Kaoh Snaeng,Borei O'Svay Sen C,Stung Treng,Cambodia,10.389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.377,10.377,0.0,0.0,0.0,0.0,0.0,0.031,0.031,0.0,0.0,0.0,0.0,0.0,0.031,0.031,0.0,0.0,0.0,0.0,0.0,0.3,0.3
30802,308,3,KHM,Kaoh Sotin,Kaoh Soutin,Kampong Cham,Cambodia,39.092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.396,37.396,0.0,0.0,0.0,0.0,0.0,0.187,0.187,0.0,0.0,0.0,0.0,0.0,37.396,37.396,0.0,0.0,0.0,0.0,0.0,0.112,0.112,0.0,0.0,0.0,0.0,0.0,0.299,0.299,0.0,0.0,0.0,0.0,0.0,0.765,0.765
