ADM3_CODE,ADM2_CODE,ADM1_CODE,ADM0_CODE,ADM3_NAME,ADM2_NAME,ADM1_NAME,ADM0_NAME,ADM3_pop_WPOP20,RP5_pop_WPOP20_C4,RP5_pop_WPOP20_C3,RP5_pop_WPOP20_C2,RP5_pop_WPOP20_C1,RP5_pop_WPOP20_C0,RP5_pop_WPOP20_C4_EAE,RP5_pop_WPOP20_C3_EAE,RP5_pop_WPOP20_C2_EAE,RP5_pop_WPOP20_C1_EAE,RP5_pop_WPOP20_C0_EAE,RP20_pop_WPOP20_C4,RP20_pop_WPOP20_C3,RP20_pop_WPOP20_C2,RP20_pop_WPOP20_C1,RP20_pop_WPOP20_C0,RP20_pop_WPOP20_C4_EAE,RP20_pop_WPOP20_C3_EAE,RP20_pop_WPOP20_C2_EAE,RP20_pop_WPOP20_C1_EAE,RP20_pop_WPOP20_C0_EAE,RP100_pop_WPOP20_C4,RP100_pop_WPOP20_C3,RP100_pop_WPOP20_C2,RP100_pop_WPOP20_C1,RP100_pop_WPOP20_C0,RP100_pop_WPOP20_C4_EAE,RP100_pop_WPOP20_C3_EAE,RP100_pop_WPOP20_C2_EAE,RP100_pop_WPOP20_C1_EAE,RP100_pop_WPOP20_C0_EAE,pop_WPOP20_C4_EAE,pop_WPOP20_C3_EAE,pop_WPOP20_C2_EAE,pop_WPOP20_C1_EAE,pop_WPOP20_C0_EAE,pop_WPOP20_C4_EAE%,pop_WPOP20_C3_EAE%,pop_WPOP20_C2_EAE%,pop_WPOP20_C1_EAE%,pop_WPOP20_C0_EAE%
210607,2106,21,KHM,Kdanh,Prey Kabbas,Takeo,Cambodia,7350.786,6758.3,6758.3,6758.3,6758.3,6758.3,1351.66,1351.66,1351.66,1351.66,1351.66,6758.3,6758.3,6758.3,6758.3,6758.3,1013.745,1013.745,1013.745,1013.745,1013.745,6758.3,6758.3,6758.3,6758.3,6758.3,270.332,270.332,270.332,270.332,270.332,2635.737,2635.737,2635.737,2635.737,2635.737,35.857,35.857,35.857,35.857,35.857
60210,602,6,KHM,Kdei Doung,Kampong Svay,Kampong Thom,Cambodia,4626.407,4626.407,4626.407,4626.407,4626.407,4626.407,925.281,925.281,925.281,925.281,925.281,4626.407,4626.407,4626.407,4626.407,4626.407,693.961,693.961,693.961,693.961,693.961,4626.407,4626.407,4626.407,4626.407,4626.407,185.056,185.056,185.056,185.056,185.056,1804.299,1804.299,1804.299,1804.299,1804.299,39.0,39.0,39.0,39.0,39.0
170703,1707,17,KHM,Kdei Run,Puok,Siemreap,Cambodia,3324.159,3324.159,3324.159,3324.159,3324.159,3324.159,664.832,664.832,664.832,664.832,664.832,3324.159,3324.159,3324.159,3324.159,3324.159,498.624,498.624,498.624,498.624,498.624,3324.159,3324.159,3324.159,3324.159,3324.159,132.966,132.966,132.966,132.966,132.966,1296.422,1296.422,1296.422,1296.422,1296.422,39.0,39.0,39.0,39.0,39.0
140403,1404,14,KHM,Kdoeang Reay,Kanhchriech,Prey Veng,Cambodia,7700.909,7645.419,7645.419,7645.419,7645.419,7645.419,1529.084,1529.084,1529.084,1529.084,1529.084,7645.419,7645.419,7645.419,7645.419,7645.419,1146.813,1146.813,1146.813,1146.813,1146.813,7645.419,7645.419,7645.419,7645.419,7645.419,305.817,305.817,305.817,305.817,305.817,2981.714,2981.714,2981.714,2981.714,2981.714,38.719,38.719,38.719,38.719,38.719
20306,203,2,KHM,Kdol Doun Teav,Battambang,Battambang,Cambodia,7583.071,6546.052,6546.052,6546.052,6546.052,6546.052,1309.21,1309.21,1309.21,1309.21,1309.21,6546.052,6546.052,6546.052,6546.052,6546.052,981.908,981.908,981.908,981.908,981.908,6546.052,6546.052,6546.052,6546.052,6546.052,261.842,261.842,261.842,261.842,261.842,2552.96,2552.96,2552.96,2552.96,2552.96,33.667,33.667,33.667,33.667,33.667
20406,204,2,KHM,Kdol Ta Haen,Bavel,Battambang,Cambodia,30978.248,30715.723,30715.723,30715.723,30715.723,30715.723,6143.145,6143.145,6143.145,6143.145,6143.145,30715.723,30715.723,30715.723,30715.723,30715.723,4607.359,4607.359,4607.359,4607.359,4607.359,30715.723,30715.723,30715.723,30715.723,30715.723,1228.629,1228.629,1228.629,1228.629,1228.629,11979.132,11979.132,11979.132,11979.132,11979.132,38.669,38.669,38.669,38.669,38.669
20602,206,2,KHM,Kear,Moung Ruessei,Battambang,Cambodia,14297.965,13516.102,13516.102,13516.102,13516.102,13516.102,2703.22,2703.22,2703.22,2703.22,2703.22,13516.102,13516.102,13516.102,13516.102,13516.102,2027.415,2027.415,2027.415,2027.415,2027.415,13516.102,13516.102,13516.102,13516.102,13516.102,540.644,540.644,540.644,540.644,540.644,5271.28,5271.28,5271.28,5271.28,5271.28,36.867,36.867,36.867,36.867,36.867
160302,1603,16,KHM,Keh Chong,Bar Kaev,Ratanak Kiri,Cambodia,5419.543,1589.791,5419.543,5419.543,5419.543,5419.543,317.958,1083.909,1083.909,1083.909,1083.909,5419.543,5419.543,5419.543,5419.543,5419.543,812.931,812.931,812.931,812.931,812.931,5419.543,5419.543,5419.543,5419.543,5419.543,216.782,216.782,216.782,216.782,216.782,1347.671,2113.622,2113.622,2113.622,2113.622,24.867,39.0,39.0,39.0,39.0
171106,1711,17,KHM,Khchas,Soutr Nikom,Siemreap,Cambodia,8436.426,8261.542,8261.542,8261.542,8261.542,8261.542,1652.308,1652.308,1652.308,1652.308,1652.308,8261.542,8261.542,8261.542,8261.542,8261.542,1239.231,1239.231,1239.231,1239.231,1239.231,8261.542,8261.542,8261.542,8261.542,8261.542,330.462,330.462,330.462,330.462,330.462,3222.001,3222.001,3222.001,3222.001,3222.001,38.192,38.192,38.192,38.192,38.192
30703,307,3,KHM,Khchau,Kang Meas,Kampong Cham,Cambodia,7066.696,6896.604,6896.604,6896.604,6896.604,6896.604,1379.321,1379.321,1379.321,1379.321,1379.321,6896.604,6896.604,6896.604,6896.604,6896.604,1034.491,1034.491,1034.491,1034.491,1034.491,6896.604,6896.604,6896.604,6896.604,6896.604,275.864,275.864,275.864,275.864,275.864,2689.676,2689.676,2689.676,2689.676,2689.676,38.061,38.061,38.061,38.061,38.061
